"Geneid","SRR1177960.","SRR1177967.","SRR1177968.","SRR1177971.","SRR1177984.","SRR1177985.","SRR1177986.","SRR1178023.","SRR1178049."
"NM_001000261",0,0,0,0,0,0,0,0,0
"NM_019141",208,415,212,308,605,557,494,217,396
"NM_198738",723,867,598,811,686,383,506,2327,254
"NM_001013151",47,19,22,37,64,51,38,27,39
"NM_031036",206,216,216,252,173,167,169,264,290
"NM_001270958",0,2,0,0,0,0,0,0,0
"NM_017272",5625,4124,1492,3412,2027,3045,1543,12040,6953
"NM_022407",8540,11443,23178,11955,8004,7451,9303,12942,7813
"NM_001108521",1,0,0,0,2,0,2,0,0
"NM_001014028",383,647,335,313,734,846,577,463,501
"NM_001107596",2912,3229,1586,1686,4003,4119,3128,2604,2775
"NM_001354180",0,0,0,0,0,0,0,0,0
"NM_031779",22,18,6,14,73,35,40,8,16
"NM_001109164",72,0,0,0,0,135,0,70,0
"NM_001012743",4,0,8,6,16,14,23,4,2
"NM_001191953",167,114,81,252,216,196,216,152,231
"NM_001037197",1692,812,965,1936,787,534,729,1179,1385
"NM_053706",0,0,0,1,0,0,0,0,0
"NM_001004446",1138,412,616,949,1023,1020,978,889,1146
"NM_001025036",224,419,433,256,237,204,245,400,457
"NM_001012172",34,19,38,32,10,18,11,20,29
"NM_013032",2,2,0,0,2,0,2,2,4
"NM_053646",161,128,203,226,164,174,138,159,163
"NM_001035002",1118,1393,1181,1338,1509,1515,1478,1269,1726
"NM_181386",523,1086,1488,648,887,1029,717,537,525
"NM_001106374",0,0,0,0,0,0,0,0,0
"NM_001014167",473,355,400,543,290,324,307,424,400
"NM_001106373",4936,9854,17671,9100,1917,2359,2497,4673,4183
"NM_001107609",36,26,36,71,226,228,271,30,28
"NM_022938",0,2,3,4,16,9,28,2,0
"NM_001129882",122,207,138,143,170,148,159,129,172
"NM_001169112",76,103,77,118,357,337,434,59,70
"NM_013159",2902,3693,3846,3290,2281,2179,2166,2530,2828
"NM_145769",4,0,0,0,0,0,0,3,4
"NM_001108522",7,4,22,4,6,4,9,15,24
"NM_053758",652,967,2406,1090,721,720,738,488,635
"NM_001271354",106,20,0,4,186,96,136,97,26
"NM_001025767",7,22,10,23,259,154,218,17,14
"NM_001191898",0,0,0,0,2,0,2,0,0
"NM_022953",4,0,2,0,1,2,0,0,0
"NM_001108525",501,304,437,488,263,233,288,399,475
"NM_001106368",1062,756,479,685,1535,1506,1425,739,887
"NM_012571",1507,3308,3538,5199,8024,10308,7801,1206,3153
"NM_040669",721,469,557,622,835,704,811,917,713
"NM_001024975",10,4,12,14,22,20,20,3,4
"NM_001106353",2734,2608,2759,2195,2182,2430,2287,2431,2941
"NM_001106361",0,0,0,2,0,0,2,2,2
"NM_001191634",2462,1680,1675,2250,2190,2202,2098,2458,2497
"NM_001013905",293,262,255,252,222,193,246,247,251
"NM_001107600",584,596,1146,724,498,435,553,403,495
"NM_001008349",279,1066,266,612,787,573,528,172,243
"NM_001011942",190,218,322,266,205,179,168,187,269
"NM_001127484",175,51,60,67,61,43,76,74,115
"NM_001107604",1521,2007,1787,1427,1514,1416,1557,1638,1959
"NM_022700",284,198,252,146,204,156,190,229,243
"NM_080890",5156,4575,5404,4590,2889,2839,3516,4363,6190
"NM_019349",1035,983,711,778,772,819,1006,1086,1204
"NM_001007602",2753,1956,2267,2387,1539,1680,1509,2828,2700
"NM_001164103",3,6,1,5,7,2,4,5,2
"NM_031552",0,0,0,0,0,0,0,0,0
"NM_131913",1439,1744,1181,1499,1735,1614,1625,1402,1968
"NM_013160",6,11,10,3,36,23,33,18,9
"NM_001106200",0,0,1,2,0,1,0,0,0
"NM_023101",141,97,126,125,119,108,112,135,135
"NM_001113743",0,0,0,0,0,0,0,0,0
"NM_001107443",0,0,0,0,0,0,0,0,0
"NM_012959",377,4,68,29,163,252,195,40,16
"NM_001303537",0,0,0,0,0,0,0,0,0
"NM_001079705",28,51,27,28,68,47,47,19,30
"NM_013031",82,88,76,117,104,95,119,115,122
"NM_001107447",121,120,166,146,86,87,133,123,175
"NM_030829",180,133,110,175,335,260,302,108,186
"NM_001099460",0,0,0,0,0,0,0,0,0
"NM_001099458",0,0,0,0,0,0,0,0,0
"NM_001099462",0,0,0,0,0,0,0,0,0
"NM_001099459",0,0,0,0,0,0,0,0,0
"NM_001161691",2,0,2,0,21,13,14,0,6
"NM_001013063",0,0,0,0,0,0,0,0,0
"NM_013073",653,706,714,680,746,744,780,736,863
"NM_001106217",1675,2083,2058,2169,1077,1185,1124,1417,1947
"NM_001134543",792,844,771,820,700,750,734,843,1067
"NM_001004217",270,283,262,311,260,243,227,243,329
"NM_001107469",34,56,24,44,152,90,127,27,24
"NM_001012062",1852,2445,1835,1930,1997,1762,1863,1678,1691
"NM_001108902",248,359,157,315,1659,1307,1401,197,241
"NM_001007690",425,851,417,341,414,446,455,535,649
"NM_001025638",8,33,8,24,63,56,48,6,6
"NM_001126092",604,722,724,640,466,526,470,618,566
"NM_012760",2,4,6,8,23,14,7,2,2
"NM_001271310",0,0,0,0,0,0,0,0,0
"NM_001014157",412,569,463,398,474,377,372,529,654
"NM_001115028",26,34,24,41,32,25,33,20,79
